r R H w fmin fmax
20 100 225 14.48131104 12480.46875 12667.96875
20 100 225 21.72196655817237 12398.4375 12679.6875
30 100 225 14.90723195 12480.46875 12726.5625
30 100 225 21.29604562795761 12375.0 12785.15625
40 100 225 14.48131104 12398.4375 12761.71875
40 100 225 21.29604562795761 12292.96875 12890.625
