r R H w fmin fmax
55 200 10 10.860983279086184 11056.640625 11414.0625
45 200 10 11.499864648444195 11074.21875 11390.625
35 200 10 12.138746017802205 11091.796875 11343.75
25 200 10 12.138746017802205 11121.09375 11296.875
